142,The Hero: Love Story of a Spy,2003,Action | Adventure | Drama,Sunny Deol | Preity Zinta | Priyanka Chopra | Amrish Puri,3
143,Jhankaar Beats,2003,Comedy | Musical | Romance,Sanjay Suri | Rahul Bose | Juhi Chawla | Rinke Khanna,2
144,Kal Ho Naa Ho,2003,Comedy | Drama | Romance,Shah Rukh Khan | Preity Zinta | Saif Ali Khan | Jaya Bhaduri,6
145,Khakee,2004,Action | Drama,Amitabh Bachchan | Akshay Kumar | Ajay Devgn | Aishwarya Rai Bachchan,4
146,LOC: Kargil,2003,Drama | War,Sanjay Dutt | Ajay Devgn | Saif Ali Khan | Sunil Shetty,2
147,Main Hoon Na,2004,Action | Comedy | Romance,Shah Rukh Khan | Sushmita Sen | Sunil Shetty | Zayed Khan,6
148,Pinjar,2003,Drama,Urmila Matondkar | Manoj Bajpayee | Sanjay Suri | Sandali Sinha,1
149,Tehzeeb,2003,Drama,Shabana Azmi | Urmila Matondkar | Arjun Rampal | Dia Mirza,1
150,Tere Liye,2001,Drama | Family | Musical,Imran Ahmed Khan | Sonali Khare | Neelu Kohli | Hiten Paintal,1
151,Tujhe Meri Kasam,2003,Romance,Ritesh Deshmukh | Shakti Kapoor | Supriya Karnik | Satish Shah,6
152,Aapko Pehle Bhi Kahin Dekha Hai,2003,Action | Comedy | Drama,Pummy Brar | Priyanshu Chatterjee | Crystal | Harry,1
153,Khushi,2003,Action | Drama | Romance,Fardeen Khan | Kareena Kapoor | Amrish Puri | Amitabh Bachchan,2
154,Kucch To Hai,2003,Drama | Horror | Mystery,Ashay Chitre | Esha Deol | Anita Hassandani | Vrajesh Hirjee,2
155,Chalo Ishq Ladaaye,2002,Comedy | Romance,Govinda | Kader Khan | Rani Mukerji | Zohra Segal,1
156,Jism,2003,Drama | Romance | Thriller,Bipasha Basu | John Abraham | Gulshan Grover | Vinay Pathak,6
158,Baaz: A Bird in Danger,2003,Thriller,Jackie Shroff | Sunil Shetty | Karisma Kapoor | Dino Morea,1
159,Darna Mana Hai,2003,Horror | Adventure,Sameera Reddy | Antara Mali | Sohail Khan | Saif Ali Khan,3
160,Inteqam: The Perfect Game,2004,Action |Romance,Manoj Bajpayee | Isha Koppikar | Nethra Raghuraman | Parmita Katkar,1
161,Khwahish,2003,Drama | Romance | Musical,Himanshu Malik | Mallika Sherawat | Shivaji Satam | Mahmud Babai,4
163,Ek Hasina Thi,2004,Crime | Romance | Thriller,Saif Ali Khan | Urmila Matondkar | Seema Biswas | Aditya Srivastava,2
164,Kash... Aap Hamare Hote,2003,Family | Musical | Romance,Juhi Babbar | Sonu Nigam | Om Puri | Sharad S. Kapoor,1
165,Sssshhh...,2003,Horror | Mystery,Tanisha | Dino Morea | Karan Nath | Gaurav Kapoor,3
166,Dhund: The Fog,2003,Adventure | Thriller,Amar Upadhyaya | Aditi Govitrikar | Apoorva Agnihotri | Divya Palat,1
167,Ek Aur Ek Gyarah: By Hook or by Crook,2003,Action | Comedy | Musical,Sanjay Dutt | Govinda | Amrita Arora | Nandini Singh,3
169,Paanch,2003,Crime | Thriller,Kay Kay Menon | Aditya Srivastava | Joy Fernandes | Vijay Maurya,1
170,Stumped,2003,Comedy | Drama,Raveena Tandon | Alyy Khan | Salman Khan | Viju Khote,1
171,Om,2003,Action | Romance,Attin Bhalla | Sandali Sinha | Smita Jaykar | Pankaj Dheer,1
172,Supari,2003,Crime | Drama,Nandita Das | Uday Chopra | Rahul Dev | Purab Kohli,1
173,Haasil,2003,Crime | Drama | Romance,Jimmy Shergill | Hrishitaa Bhatt | Irrfan Khan | Ashutosh Rana,1
174,Ishq Vishk,2003,Comedy | Romance,Shahid Kapoor | Amrita Rao | Shenaz Treasury | Vishal Malhotra,4
175,Nayee Padosan,2003,Comedy,Vikas Kalantri | Anuj Sawhney | Aslam Khan | Mahek Chahal,3
176,Aan: Men at Work,2004,Drama | Action,Shatrughan Sinha | Akshay Kumar | Sunil Shetty | Paresh Rawal,1
177,Bewafaa,2005,Drama,Anil Kapoor | Akshay Kumar | Kareena Kapoor | Sushmita Sen,3
178,Joggers' Park,2003,Comedy | Romance,Victor Banerjee | Perizaad Zorabian | Divya Dutta | Khalid Siddiqui,2
179,Mumbai Se Aaya Mera Dost,2003,Romance | Action | Adventure,Abhishek Bachchan | Lara Dutta | Chunky Pandey | Aditya Lakhia,1
180,Dev,2004,Drama,Amitabh Bachchan | Om Puri | Fardeen Khan | Kareena Kapoor,2
181,Plan,2004,Action | Thriller,Sanjay Dutt | Dino Morea | Sanjay Suri | Bikram Saluja,2
182,Qayamat: City Under Threat,2003,Action | Romance | Thriller,Ajay Devgn | Sunil Shetty | Sanjay Kapoor | Arbaaz Khan,4
183,Calcutta Mail,2003,Thriller,Anil Kapoor | Rani Mukerji | Manisha Koirala | Satish Kaushik,1
184,Janasheen,2003,Musical | Action | Drama,Feroz Khan | Fardeen Khan | Celina Jaitly | Pinky Harwani,2
185,Kaise Kahoon Ke... Pyaar Hai,2003,Crime | Romance,Sunny Deol | Dharmendra | Amit Hingorani | Farida Jalal,1
187,Parwana,2003,Romance |Drama,Ajay Devgn | Ameesha Patel | Pooja Batra | Jagdeep,2
188,Rudraksh,2004,Fantasy | Sci-Fi,Sanjay Dutt | Bipasha Basu | Sunil Shetty | Isha Koppikar,1
189,Swades,2004,Drama,Shah Rukh Khan | Gayatri Joshi | Kishori Balal | Smith Seth,2
190,Asambhav,2004,Action | Adventure | Drama,Arjun Rampal | Naseeruddin Shah | Priyanka Chopra | Singh Surendra,1
191,Desh,2002,Drama,Jaya Bhaduri | Sabyasachi Chakraborty | Subhendu Chatterjee | Gyanesh Mukherjee,1
192,Jajantaram Mamantaram,2003,Fantasy | Family,Javed Jaffrey | Gulshan Grover | Joy Fernandes | Nishith Dadhich,1
193,Hawa,2003,Horror | Thriller,Tabu | Shahbaaz Khan | Mukesh Tiwari | Imran Khan,3
194,Kuch Naa Kaho,2003,Drama | Romance,Aishwarya Rai Bachchan | Abhishek Bachchan | Satish Shah | Suhasini Mulay,2
195,Hungama,2003,Comedy | Drama | Romance,Akshaye Khanna | Aftab Shivdasani | Rimi Sen | Paresh Rawal,5
196,Khel,2003,Action | Thriller,Sunny Deol | Sunil Shetty | Ajay Jadeja | Celina Jaitly,2
197,Saaya,2003,Action | Drama | Horror,John Abraham | Tara Sharma | Mahima Chaudhry | Zohra Segal,2
198,Gangaajal,2003,Crime | Drama,Ajay Devgn | Gracy Singh | Mohan Joshi | Yashpal Sharma,4
199,Khanjar,2003,Action,Sunil Shetty | Tabu | Gulshan Grover | Pankaj Dheer,1
200,Khullam Khulla Pyaar Karen,2005,Comedy,Govinda | Preity Zinta | Prem Chopra | Sadashiv Amrapurkar,1
201,Tere Naam,2003,Romance,Salman Khan | Bhoomika Chawla | Mahima Chaudhry | Sachin Khedekar,5
202,Footpath,2003,Action | Crime | Drama,Aftab Shivdasani | Bipasha Basu | Rahul Dev | Emraan Hashmi,2
